Sample,Species,Toxin_count
Abili-CLP2469,Agkistrodon_bilineatus,2
Abili-CLP2470,Agkistrodon_bilineatus,2
Acont-CLP2223,Agkistrodon_contortrix_contortrix,3
Acont-CLP2224,Agkistrodon_contortrix_contortrix,2
Acont-KW1091,Agkistrodon_contortrix_contortrix,3
Acont-CLP2702,Agkistrodon_contortrix_hybrid,2
Acont-CLP2215,Agkistrodon_contortrix_laticinctus,2
Acont-DRR0033,Agkistrodon_contortrix_laticinctus,2
Acont-KW2155,Agkistrodon_contortrix_laticinctus,2
Acont-DRR0002,Agkistrodon_contortrix_mokasen,3
Acont-DRR0001,Agkistrodon_contortrix_pictigaster,2
Apisc-KW1996,Agkistrodon_piscivorus_conanti,4
Apisc-Ap03,Agkistrodon_piscivorus_hybrid,3
Apisc-KW1750,Agkistrodon_piscivorus_hybrid,3
Apisc-MM0024,Agkistrodon_piscivorus_hybrid,3
Apisc-Ap07,Agkistrodon_piscivorus_leucostoma,4
Apisc-CLP2700,Agkistrodon_piscivorus_leucostoma,5
Apisc-CLP2701,Agkistrodon_piscivorus_leucostoma,5
Apisc-KW2031,Agkistrodon_piscivorus_piscivorus,3
Apisc-KW2035,Agkistrodon_piscivorus_piscivorus,4
Aruss-CLP2622,Agkistrodon_russeolus,3
Aruss-CLP2623,Agkistrodon_russeolus,3
Cadam-DRR0105,Crotalus_adamanteus,3
Cadam-DRR0106,Crotalus_adamanteus,3
Cadam-KW0944,Crotalus_adamanteus,2
Cadam-KW1264,Crotalus_adamanteus,2
Cadam-KW1942,Crotalus_adamanteus,3
Cadam-KW2161,Crotalus_adamanteus,2
Cadam-KW2170,Crotalus_adamanteus,1
Cadam-KW2171,Crotalus_adamanteus,1
Cadam-KW2184,Crotalus_adamanteus,1
Cadam-MM0114,Crotalus_adamanteus,2
Caqui-CLP2290,Crotalus_aquilus,3
Caqui-CLP2291,Crotalus_aquilus,4
Caqui-CLP2299,Crotalus_aquilus,4
Caqui-CLP2301,Crotalus_aquilus,3
Caqui-CLP2302,Crotalus_aquilus,2
Caqui-CLP2303,Crotalus_aquilus,2
Caqui-CLP2414,Crotalus_aquilus,4
Carms-CLP2402,Crotalus_armstrongi,3
Carms-CLP2472,Crotalus_armstrongi,5
Carms-CLP2473,Crotalus_armstrongi,4
Catro-CLP1915,Crotalus_atrox_East,4
Catro-CLP1919,Crotalus_atrox_East,4
Catro-CLP1925,Crotalus_atrox_East,3
Catro-CLP2329,Crotalus_atrox_East,3
Catro-CLP2332,Crotalus_atrox_East,3
Catro-CLP2706,Crotalus_atrox_East,3
Catro-KW1109,Crotalus_atrox_East,3
Catro-MM0251,Crotalus_atrox_East,4
Catro-MM0254,Crotalus_atrox_East,3
Catro-MM0255,Crotalus_atrox_East,3
Catro-CLP1946,Crotalus_atrox_West,4
Catro-CLP1952,Crotalus_atrox_West,3
Catro-CLP2176,Crotalus_atrox_West,3
Cbasi-CLP2466,Crotalus_basiliscus,4
Cbasi-CLP2467,Crotalus_basiliscus,4
Cbasi-CLP2468,Crotalus_basiliscus,5
Ccamp-CLP2396,Crotalus_campbelli,3
Ccamp-CLP2397,Crotalus_campbelli,3
Ccamp-CLP2398,Crotalus_campbelli,3
Ccera-CLP2065,Crotalus_cerastes_cerastes,1
Ccera-CLP2068,Crotalus_cerastes_cerastes,1
Ccera-CLP2109,Crotalus_cerastes_cerastes,1
Ccera-CLP2105,Crotalus_cerastes_cercobombus,1
Ccera-CLP2137,Crotalus_cerastes_cercobombus,1
Ccera-KW1744,Crotalus_cerastes_cercobombus,1
Ccera-CLP2057,Crotalus_cerastes_laterorepens,1
Ccera-CLP2071,Crotalus_cerastes_laterorepens,1
Ccerb-CLP1933,Crotalus_cerberus,1
Ccerb-CLP1942,Crotalus_cerberus,4
Ccerb-CLP2163,Crotalus_cerberus,6
Cduri-SB0276,Crotalus_durissus_collilineatus,2
Cduri-SB0277,Crotalus_durissus_collilineatus,3
Cduri-SB0042,Crotalus_durissus_terrificus,2
Cduri-SB0043,Crotalus_durissus_terrificus,3
Cduri-SB0044,Crotalus_durissus_terrificus,2
Cenyo-CLP2636,Crotalus_enyo_enyo,2
Cenyo-CLP2638,Crotalus_enyo_enyo,3
Cenyo-CLP2644,Crotalus_enyo_enyo,2
Cenyo-CLP2645,Crotalus_enyo_enyo,2
Cenyo-CLP2655,Crotalus_enyo_enyo,1
Ceric-CLP2391,Crotalus_ericsmithi,2
Chorr-KW1089,Crotalus_horridus_atricaudatus,4
Chorr-KW1298,Crotalus_horridus_atricaudatus,1
Chorr-KW1369,Crotalus_horridus_atricaudatus,1
Chorr-DRR0085,Crotalus_horridus_horridus,4
Cinte-CLP2309,Crotalus_intermedius_gloydi,2
Cinte-CLP2323,Crotalus_intermedius_gloydi,3
Clann-CLP2394,Crotalus_lannomi,2
Clepi-CLP1932,Crotalus_lepidus_klauberi,1
Clepi-CLP2201,Crotalus_lepidus_klauberi,3
Clepi-CLP2202,Crotalus_lepidus_klauberi,3
Clepi-CLP2258,Crotalus_lepidus_klauberi,8
Clepi-CLP2346,Crotalus_lepidus_klauberi,5
Clepi-CLP1993,Crotalus_lepidus_lepidus,2
Clepi-CLP2268,Crotalus_lepidus_lepidus,3
Clepi-KW1748,Crotalus_lepidus_lepidus,4
Clepi-MM0245,Crotalus_lepidus_lepidus,2
Cmitc-CLP2647,Crotalus_mitchellii,6
Cmitc-CLP2648,Crotalus_mitchellii,4
Cpyrr-CLP2656,Crotalus_pyrrhus,4
Cmitc-CLP2657,Crotalus_mitchellii,3
Cmitc-CLP2671,Crotalus_mitchellii,3
Cmitc-CLP2672,Crotalus_mitchellii,5
Cmolo-CLP2350,Crotalus_molossus_hybrid,3
Cmolo-CLP1934,Crotalus_molossus_molossus,2
Cmolo-CLP2124,Crotalus_molossus_molossus,1
Cmolo-CLP2146,Crotalus_molossus_molossus,0
Cmolo-CLP2198,Crotalus_molossus_molossus,2
Cmolo-CLP2200,Crotalus_molossus_molossus,1
Cmolo-CLP2260,Crotalus_molossus_nigrescens,4
Cmolo-CLP2270,Crotalus_molossus_nigrescens,3
Cmolo-CLP2271,Crotalus_molossus_nigrescens,2
Cmolo-CLP2330,Crotalus_molossus_oaxacus,3
Cmolo-CLP2374,Crotalus_molossus_oaxacus,0
Cmolo-CLP2375,Crotalus_molossus_oaxacus,0
Cmoru-CLP2403,Crotalus_morulus,5
Cmoru-CLP2404,Crotalus_morulus,3
Cmoru-CLP2405,Crotalus_morulus,2
Coreg-CLP1844,Crotalus_oreganus_abyssus,3
Coreg-CLP1974,Crotalus_oreganus_helleri,1
Coreg-CLP2046,Crotalus_oreganus_helleri,2
Coreg-CLP2050,Crotalus_oreganus_helleri,1
Coreg-MM0235,Crotalus_oreganus_lutosus,3
Coreg-CLP2063,Crotalus_oreganus_oreganus_South,1
Coreg-CLP2485,Crotalus_oreganus_oreganus_North,2
Coreg-CLP2486,Crotalus_oreganus_oreganus_North,4
Corna-CLP1996,Crotalus_ornatus,2
Corna-CLP2020,Crotalus_ornatus,3
Corna-CLP2025,Crotalus_ornatus,2
Corna-CLP2026,Crotalus_ornatus,2
Corna-CLP2189,Crotalus_ornatus,2
Corna-MM0243,Crotalus_ornatus,2
Corna-MM0257,Crotalus_ornatus,4
Cpoly-CLP2399,Crotalus_polystictus,3
Cpoly-CLP2400,Crotalus_polystictus,2
Cpoly-CLP2401,Crotalus_polystictus,2
Cpric-CLP2273,Crotalus_pricei_miquihuanus,3
Cpric-CLP2274,Crotalus_pricei_miquihuanus,2
Cpric-CLP2148,Crotalus_pricei_pricei,2
Cpric-CLP2254,Crotalus_pricei_pricei,4
Cpric-CLP2255,Crotalus_pricei_pricei,4
Cpric-CLP2256,Crotalus_pricei_pricei,4
Cpusi-CLP2483,Crotalus_pusillus,3
Cpyrr-CLP2051,Crotalus_pyrrhus,5
Cmitc-CLP2646,Crotalus_mitchellii,4
Cpyrr-DRR0045,Crotalus_pyrrhus,5
Cpyrr-DRR0046,Crotalus_pyrrhus,1
Cpyrr-KW1745,Crotalus_pyrrhus,4
Cravu-CLP2318,Crotalus_ravus_ravus,2
Cravu-CLP2371,Crotalus_ravus_ravus,3
Cravu-CLP2380,Crotalus_ravus_ravus,7
Crube-CLP2642,Crotalus_ruber_lucasensis,2
Crube-CLP2643,Crotalus_ruber_lucasensis,3
Crube-CLP2659,Crotalus_ruber_lucasensis,0
Crube-CLP2052,Crotalus_ruber_ruber,2
Crube-CLP2056,Crotalus_ruber_ruber,2
Crube-CLP2635,Crotalus_ruber_ruber,3
Cscut-CLP2382,Crotalus_scutulatus_salvini,4
Cscut-CLP2389,Crotalus_scutulatus_salvini,4
Cscut-CLP2390,Crotalus_scutulatus_salvini,3
Cscut-CLP1778,Crotalus_scutulatus_scutulatus_Chihuahuan,4
Cscut-CLP1785,Crotalus_scutulatus_scutulatus_Chihuahuan,4
Cscut-CLP1787,Crotalus_scutulatus_scutulatus_Chihuahuan,5
Cscut-CLP1821,Crotalus_scutulatus_scutulatus_Chihuahuan,4
Cscut-CLP1823,Crotalus_scutulatus_scutulatus_Sonoran,5
Cscut-CLP1829,Crotalus_scutulatus_scutulatus_Sonoran,4
Cscut-CLP1830,Crotalus_scutulatus_scutulatus_Sonoran,4
Cscut-CLP1831,Crotalus_scutulatus_scutulatus_Sonoran,4
Cscut-CLP1832,Crotalus_scutulatus_scutulatus_Sonoran,6
Cscut-CLP1835,Crotalus_scutulatus_scutulatus_Sonoran,7
Cscut-CLP1961,Crotalus_scutulatus_scutulatus_Sonoran,4
Cscut-CLP2021,Crotalus_scutulatus_scutulatus_Chihuahuan,3
Cscut-CLP2111,Crotalus_scutulatus_scutulatus_Sonoran,5
Cscut-CLP2261,Crotalus_scutulatus_scutulatus_Chihuahuan,4
Cscut-CLP2262,Crotalus_scutulatus_scutulatus_Chihuahuan,2
Cscut-CLP2272,Crotalus_scutulatus_scutulatus_Chihuahuan,5
Cscut-CLP2276,Crotalus_scutulatus_scutulatus_CentralMexico,5
Cscut-CLP2333,Crotalus_scutulatus_scutulatus_CentralMexico,3
Cscut-KW1107,Crotalus_scutulatus_scutulatus_Chihuahuan,5
Cscut-MM0240,Crotalus_scutulatus_scutulatus_Chihuahuan,4
Cstep-CLP2717,Crotalus_stephensi,1
Cstep-CLP2719,Crotalus_stephensi,2
Cstep-CLP2720,Crotalus_stephensi,1
Ctigr-CLP1944,Crotalus_tigris,2
Ctigr-CLP2130,Crotalus_tigris,1
Ctigr-CLP2156,Crotalus_tigris,2
Ctigr-KW1746,Crotalus_tigris,2
Ctoto-CLP2392,Crotalus_totonacus,2
Ctoto-CLP2393,Crotalus_totonacus,2
Ctoto-CLP2474,Crotalus_totonacus,3
Ctran-CLP2358,Crotalus_transversus,2
Ctris-CLP2310,Crotalus_triseriatus_East,4
Ctris-CLP2312,Crotalus_triseriatus_East,4
Ctris-CLP2313,Crotalus_triseriatus_East,3
Ctris-CLP2356,Crotalus_triseriatus_West,3
Ctris-CLP2357,Crotalus_triseriatus_West,5
Ctris-CLP2395,Crotalus_triseriatus_West,3
Cviri-CLP1842,Crotalus_viridis_nuntius,3
Cviri-CLP2082,Crotalus_viridis_nuntius,3
Cviri-CLP1839,Crotalus_viridis_viridis,4
Cviri-CLP1914,Crotalus_viridis_viridis,3
Cviri-MM0239,Crotalus_viridis_viridis,3
Cviri-MM0246,Crotalus_viridis_viridis,3
Cviri-MM0247,Crotalus_viridis_viridis,3
Cwill-CLP2257,Crotalus_willardi_silus,3
Cwill-CLP2110,Crotalus_willardi_willardi,5
Scate-DRR0043,Sistrurus_catenatus,6
Smili-DRR0055,Sistrurus_miliarius_barbouri,2
Smili-KW1749,Sistrurus_miliarius_barbouri,2
Smili-MM0113,Sistrurus_miliarius_barbouri,2
Smili-Sm03,Sistrurus_miliarius_barbouri,2
Smili-Sm07,Sistrurus_miliarius_barbouri,2
